fund_code,fund_name,fund_cat,ms_eval_3y,ms_eval_5y,fund_date,fund_value,fund_value_change,return_y_pct,return_1d,return_1w,return_1m,return_3m,return_6m,return_1y,return_2y,return_3y,return_5y,return_10y,return_since_est,dev_3y,ms_risk_3y,stock_ratio,bond_ratio,top10_stock_ratio,top10_bond_ratio,net_asset,est_date,buy_cond,redeem_cond,min_buy,front_fee,back_fee,redeem_fee,admin_fee,trust_fee,sell_service_fee,on_duty_date,on_duty_mngr,on_duty_return,coeff,aaron_ratio,top_industry,top_industry_ratio
001513,易方达信息产业混合,激进配置型基金,5,5,2020-02-14,2.0780,-0.0090,21.38,-0.43,1.66,10.01,30.61,57.78,93.84,37.26,28.43,-,-,107.80,20.99,0.96,82.27,1.04,29.92,1.03,21.12,2016-09-27,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2016-09-27,郑希,107.80,1.1179616498905596,3.4802104216035454,制造业,55.25
000083,汇添富消费行业混合,激进配置型基金,3,2,2020-02-14,4.6560,0.0220,-1.65,0.47,2.96,-3.28,-2.00,10.54,49.86,16.04,26.63,20.80,-,365.60,21.93,0.97,91.97,0.97,53.65,0.97,82.86,2013-05-03,开放,开放,"1,000",1.50,-,1.50,1.50,0.25,-,2016-04-08,胡昕炜,115.66,1.1179616498905596,0.9201373031059557,制造业,65.78
110011,易方达中小盘混合,激进配置型基金,1,3,2020-02-14,4.9622,0.0452,0.03,0.92,2.86,-0.72,-1.12,10.13,43.01,19.90,26.01,22.67,14.35,524.67,21.56,0.92,94.90,2.69,77.82,2.47,186.45,2008-06-19,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2012-09-28,张坤,339.94,1.1179616498905596,0.7855565622901234,制造业,76.17
001811,中欧明睿新常态混合A,激进配置型基金,4,5,2020-02-14,1.6090,0.0080,7.91,0.50,3.74,2.42,14.68,33.46,57.06,28.78,25.33,-,-,97.47,17.01,0.62,90.86,0.00,45.35,-,51.98,2016-03-03,开放,开放,1,1.50,-,1.50,1.50,0.25,-,2016-12-01,周应波,104.58,1.1179616498905596,5.0273067175243655,制造业,47.50
000746,招商行业精选股票,股票型基金,2,6,2020-02-14,2.5180,-0.0040,19.34,-0.16,4.31,12.66,18.66,42.42,79.60,24.90,24.88,14.67,-,151.80,19.77,0.81,89.38,5.01,60.50,3.61,5.43,2014-09-03,开放,开放,1,1.50,-,1.50,1.50,0.25,-,2017-01-07,贾成东,96.26,1.1179616498905596,1.6747884378999687,制造业,61.04
001714,工银瑞信文体产业股票,股票型基金,2,6,2020-02-14,1.9970,0.0010,8.06,0.05,1.99,2.10,14.31,31.90,53.34,24.25,24.59,-,-,125.71,16.6,0.67,82.73,0.00,28.89,-,29.65,2015-12-30,开放,开放,1,1.50,-,1.50,1.50,0.25,-,2018-11-19,袁芳,64.39,1.1179616498905596,4.725387768808693,制造业,56.99
160222,国泰国证食品饮料行业指数分级,股票型基金,5,0,2020-02-14,1.0359,-0.0014,-5.47,-0.13,0.54,-7.09,-5.86,2.43,34.75,14.09,24.52,20.47,-,186.16,25.68,1.05,94.17,0.00,68.56,-,26.84,2014-10-23,开放,开放,10,0.00,-,1.50,1.00,0.20,-,2017-02-03,梁杏,100.38,1.1179616498905596,-4.7972261857995475,制造业,94.16
001694,华安沪港深外延增长灵活配置混合,沪港深混合型基金,8,3,2020-02-14,2.3240,-0.0120,13.42,-0.51,0.04,4.22,19.79,42.40,83.43,28.48,24.43,-,-,144.30,18.03,1.11,85.08,0.25,47.76,0.25,5.33,2016-03-09,开放,开放,1,1.50,-,1.50,1.50,0.25,-,2018-02-26,崔莹,56.40,1.1179616498905596,2.7122701582755715,制造业,65.05
180012,银华富裕主题混合,激进配置型基金,2,2,2020-02-14,3.7299,0.0065,4.05,0.17,2.04,1.68,0.01,15.23,50.95,16.61,24.01,22.05,12.84,656.38,21.27,1.02,86.17,0.00,62.27,-,89.37,2006-11-16,开放,开放,1,1.50,-,1.50,1.50,0.25,-,2018-12-27,焦巍,70.60,1.1179616498905596,-0.8134135693738611,制造业,65.72
166006,中欧行业成长混合(LOF) -A,激进配置型基金,3,3,2020-02-14,1.6093,-0.0039,13.33,-0.24,0.21,6.02,20.49,38.88,67.22,19.89,23.78,16.62,8.62,124.26,16.4,0.71,90.68,0.00,45.75,-,58.44,2009-12-30,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2019-08-20,王培,34.75,1.1179616498905596,4.16085486548478,制造业,49.25
000595,嘉实泰和混合,激进配置型基金,2,7,2020-02-14,2.9430,-0.0030,11.94,-0.10,0.86,6.09,14.38,29.82,74.07,25.04,23.14,21.16,-,230.42,17.88,0.83,93.43,1.17,44.99,1.17,41.19,2014-04-04,开放,开放,"5,000",1.50,-,1.50,1.50,0.25,-,2016-03-10,归凯,96.75,1.1179616498905596,1.988384423352306,制造业,64.81
159928,汇添富中证主要消费ETF,股票型基金,4,4,2020-02-14,2.9690,0.0260,-1.76,0.88,2.88,-4.75,-3.34,3.91,38.74,13.81,24.75,20.14,-,197.17,25.44,1.09,99.57,0.00,76.61,-,35.32,2013-08-23,开放,开放,"500,000(份)",-,-,-,0.50,0.10,-,2015-11-02,过蓓蓓,121.02,1.1179616498905596,-4.3914946206581895,制造业,80.69
110022,易方达消费行业股票,股票型基金,0,6,2020-02-14,2.8840,-0.0050,-5.66,-0.17,1.62,-7.33,-3.61,3.97,35.72,10.38,24.46,20.70,-,188.40,23.77,1.02,85.51,4.39,76.36,3.57,205.29,2010-08-20,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2015-01-10,萧楠,163.62,1.1179616498905596,-2.9108952897494658,制造业,84.64
000294,华安生态优先混合,激进配置型基金,8,9,2020-02-14,2.5010,0.0310,2.50,1.26,3.18,-0.87,3.35,15.63,55.74,23.65,23.91,19.23,-,208.22,18.96,0.75,88.76,0.00,46.02,-,6.40,2013-11-28,开放,开放,1,1.50,-,1.50,1.50,0.25,-,2018-05-14,陈媛,42.56,1.1179616498905596,1.6771379240429383,制造业,43.08
000248,汇添富中证主要消费ETF联接,股票型基金,4,4,2020-02-14,1.9797,0.0165,-1.59,0.84,2.55,-4.47,-3.07,3.82,36.95,13.54,23.73,-,-,97.97,24.07,1.03,0.92,0.00,94.40,-,29.60,2015-03-24,开放,开放,"1,000",1.00,-,1.50,0.50,0.10,-,2015-08-03,吴振翔,95.04,1.1179616498905596,-3.8738693878068196,制造业,0.75
001645,国泰大健康股票,股票型基金,0,4,2020-02-14,2.4220,-0.0240,12.55,-0.98,1.47,4.53,22.82,46.52,86.88,30.55,23.49,-,-,142.20,23.81,1.09,93.72,0.17,69.05,0.17,5.68,2016-02-03,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2017-10-30,徐治彪,43.82,1.1179616498905596,-3.8885458036064975,制造业,67.43
110023,易方达医疗保健行业混合,激进配置型基金,4,2,2020-02-14,2.4030,0.0060,9.13,0.25,0.54,5.72,4.30,24.83,56.75,24.39,22.6,10.85,-,140.30,20.01,0.9,90.54,4.55,56.69,4.53,31.16,2011-01-28,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2017-02-17,杨桢霄,86.71,1.1179616498905596,-0.6946375121969709,制造业,69.63
000960,招商医药健康产业股票,行业股票 - 医药,3,5,2020-02-14,1.8270,-0.0030,15.85,-0.16,-0.33,10.59,7.85,29.21,77.03,32.54,22.41,12.47,-,82.70,22.78,0.87,88.87,4.96,62.09,4.95,9.14,2015-01-30,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2015-01-30,李佳存,82.70,1.1179616498905596,-3.6045896747050525,制造业,54.50
002593,富国美丽中国混合,激进配置型基金,9,6,2020-02-14,1.7610,0.0120,6.79,0.69,1.67,3.10,14.05,26.15,46.75,17.99,21.49,-,-,92.41,12.83,0.54,86.40,5.09,51.26,5.09,5.89,2016-05-19,开放,开放,100,1.50,-,1.50,1.50,0.25,-,2016-05-19,张啸伟,92.41,1.1179616498905596,5.852484064729514,制造业,42.74
000854,鹏华养老产业股票,股票型基金,8,8,2020-02-14,2.1800,-0.0040,-3.92,-0.18,0.93,-4.93,-4.85,9.71,51.60,12.19,20.72,12.53,-,118.00,24.79,1.08,92.04,0.00,72.06,-,6.58,2014-12-02,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2014-12-02,王宗合,118.00,1.1179616498905596,-7.336269435961119,制造业,59.79
070032,嘉实优化红利混合,激进配置型基金,0,8,2020-02-14,1.7400,0.0060,-2.08,0.35,2.53,-3.87,-0.34,9.99,32.42,7.63,20.36,20.05,-,236.58,18.14,0.8,89.62,5.44,57.00,5.44,23.89,2012-06-26,开放,开放,"5,000",1.50,-,1.50,1.50,0.25,-,2018-10-11,常蓁,39.53,1.1179616498905596,-0.728284059660637,制造业,53.50
110015,易方达行业领先混合,激进配置型基金,3,3,2020-02-14,2.7730,-0.0030,2.61,-0.11,1.06,-1.95,5.65,17.59,42.32,12.64,19.99,16.25,10.47,249.72,18.75,0.92,87.68,2.81,50.26,2.80,11.55,2009-03-26,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2010-12-31,冯波,129.83,1.1179616498905596,-1.789243534018473,制造业,73.43
100020,富国天益价值混合,激进配置型基金,3,8,2020-02-14,1.7344,-0.0033,2.87,-0.19,3.15,0.56,7.08,21.85,43.47,16.20,19.37,12.81,9.85,"1,342.68",16.77,0.69,93.30,4.92,63.69,4.91,39.71,2004-06-15,开放,开放,10,1.50,1.80,1.50,1.50,0.25,-,2019-08-12,唐颐恒,20.92,1.1179616498905596,-0.1338242748343057,制造业,67.33
160133,南方天元新产业股票(LOF),股票型基金,2,3,2020-02-14,3.1900,0.0020,10.69,0.06,2.37,5.66,13.56,28.78,52.85,19.74,20.7,19.70,-,226.15,15.44,0.62,82.64,5.33,38.61,5.32,22.15,2014-07-03,开放,开放,10,-,-,1.50,1.50,0.25,-,2015-06-16,蒋秋洁,34.03,1.1179616498905596,2.4558408627222432,制造业,44.42
163415,兴全商业模式优选混合(LOF),激进配置型基金,6,3,2020-02-14,2.3550,-0.0060,8.08,-0.25,1.64,2.35,15.05,25.53,53.42,32.77,20.2,20.59,-,306.05,14.64,0.58,89.86,4.99,39.62,4.98,43.37,2012-12-18,开放,开放,1,1.50,1.80,1.50,1.50,0.25,-,2018-07-10,乔迁,54.12,1.1179616498905596,2.8485983298062454,制造业,56.04
206007,鹏华消费优选混合,激进配置型基金,2,0,2020-02-14,2.7340,-0.0090,-4.77,-0.33,0.70,-5.53,-6.37,8.02,50.47,8.18,18.55,12.85,-,173.40,24.45,1.15,94.43,0.00,75.28,-,8.80,2010-12-28,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2010-12-28,王宗合,173.40,1.1179616498905596,-9.007302028816541,制造业,59.95
040008,华安策略优选混合,激进配置型基金,2,1,2020-02-14,1.8464,0.0120,-2.79,0.65,3.25,-2.91,-0.06,7.41,21.63,6.19,18.16,15.97,9.38,84.64,16.02,0.74,86.45,0.00,59.18,-,84.09,2007-08-02,开放,开放,1,1.50,-,1.50,1.50,0.25,-,2013-10-29,杨明,198.09,1.1179616498905596,-0.5161512044910184,制造业,37.64
519066,汇添富蓝筹稳健混合,激进配置型基金,5,7,2020-02-14,2.6440,0.0090,-1.67,0.34,1.85,-3.60,0.97,6.79,27.71,4.80,17.92,17.51,12.71,400.18,15.91,0.81,75.97,3.55,53.74,3.55,48.05,2008-07-08,开放,开放,100,1.50,1.80,1.50,1.50,0.25,-,2015-07-30,雷鸣,69.01,1.1179616498905596,-0.6908276202906953,制造业,37.61
001044,嘉实新消费股票,股票型基金,6,3,2020-02-14,1.4890,0.0050,-1.52,0.34,-0.13,-5.40,-3.06,8.57,21.99,5.04,16.93,-,-,56.02,16.7,0.76,92.59,0.26,74.16,0.26,22.79,2015-03-23,开放,开放,"1,000",1.50,-,1.50,1.50,0.25,-,2017-04-11,谭丽,47.61,1.1179616498905596,-2.3163678354643675,制造业,70.82
001182,易方达安心回馈混合,保守混合型基金,1,1,2020-02-14,1.8670,0.0040,5.66,0.21,1.47,2.19,10.41,21.31,37.18,18.44,18.85,-,-,86.70,9.03,1.6,40.10,79.04,36.00,20.35,8.47,2015-05-29,开放,开放,10,1.00,-,1.50,0.60,0.25,-,2015-11-28,张清华,81.44,1.1179616498905596,6.231043490933057,制造业,35.55
110003,易方达上证50指数A,股票型基金,7,1,2020-02-14,1.7487,0.0101,-3.28,0.58,1.05,-4.37,-2.45,5.21,26.61,9.95,18.54,13.47,7.94,447.33,17.05,0.73,94.33,3.57,70.17,3.57,197.41,2004-03-22,开放,开放,10,1.50,-,1.50,1.20,0.20,-,2015-06-06,张胜记,32.53,1.1179616498905596,-1.1962468794748626,制造业,45.26
000513,富国高端制造行业股票,股票型基金,3,0,2020-02-14,2.2970,-0.0050,6.79,-0.22,3.00,2.91,13.10,33.01,69.77,16.79,18.14,12.20,-,129.70,18.79,0.8,91.92,0.00,44.60,-,8.53,2014-06-20,开放,开放,10,1.50,1.80,1.50,1.50,0.25,-,2018-10-24,毕天宇,80.72,1.1179616498905596,-3.3640409058076584,制造业,63.29
690007,民生加银景气行业混合,激进配置型基金,5,2,2020-02-14,3.3060,-0.0050,2.61,-0.15,1.57,-0.06,6.44,17.53,46.09,23.46,17.56,17.60,-,230.60,16.65,0.7,83.46,0.00,45.10,-,16.61,2011-11-22,开放,开放,1,1.50,-,1.50,1.50,0.25,-,2018-11-08,王亮,59.17,1.1179616498905596,-1.6428422439902135,制造业,65.45
202023,南方优选成长混合A,标准混合型基金,3,0,2020-02-14,3.2260,-0.0010,5.53,-0.03,1.83,2.90,6.12,16.63,39.17,14.03,17.18,17.15,-,222.60,13.98,0.81,74.92,20.13,45.56,20.13,12.25,2011-01-30,开放,开放,10,1.50,1.80,1.50,1.50,0.25,-,2015-07-10,骆帅,93.99,1.1179616498905596,0.5772534309936277,制造业,53.52
001104,华安新丝路主题股票,股票型基金,8,3,2020-02-14,1.5130,-0.0020,5.29,-0.13,2.16,2.51,3.70,21.92,55.18,23.94,16.21,-,-,51.30,15.14,0.62,92.98,0.00,46.20,-,15.05,2015-04-09,开放,开放,1,1.50,-,1.50,1.50,0.25,-,2019-11-08,谢昌旭,4.85,1.1179616498905596,-1.2603970828634035,制造业,59.27
166002,中欧新蓝筹混合 -A,激进配置型基金,8,2,2020-02-14,1.5447,0.0080,2.31,0.52,1.90,-1.01,2.83,13.87,47.31,18.34,16.08,17.91,13.80,420.47,14.85,0.67,75.13,11.01,40.06,6.71,87.47,2008-07-25,开放,开放,10,1.50,-,1.50,1.50,0.25,-,2018-08-27,周蔚文,46.38,1.1179616498905596,-1.1366801414215644,制造业,45.00
040005,华安宏利混合,激进配置型基金,7,9,2020-02-14,5.1703,0.0643,-3.51,1.26,3.75,-4.07,0.06,9.61,34.88,14.64,15.82,10.27,7.75,556.98,18.11,0.88,91.62,5.60,80.23,4.52,35.28,2006-09-06,开放,开放,1,1.50,1.50,1.50,1.50,0.25,-,2016-09-21,王春,45.38,1.1179616498905596,-4.839246258537879,制造业,49.52
481012,工银瑞信深证红利ETF联接A,股票型基金,5,8,2020-02-14,1.5773,0.0118,-4.54,0.75,3.34,-7.50,0.13,7.60,26.02,5.22,15.46,12.25,-,86.82,19.02,0.87,0.00,0.00,94.82,-,13.49,2010-11-09,开放,开放,1,1.00,-,1.50,0.50,0.10,-,2014-10-21,赵栩,151.78,1.1179616498905596,-6.061260882237396,制造业,0.09
217027,招商央视财经50指数A,股票型基金,5,5,2020-02-14,2.2967,0.0055,-0.65,0.24,1.10,-3.22,2.59,14.13,25.65,5.13,15.44,12.30,-,129.67,16.53,0.76,94.53,1.65,48.55,1.65,5.83,2013-02-05,开放,开放,10,1.20,-,1.50,0.75,0.15,-,2017-09-05,侯昊,22.56,1.1179616498905596,-3.4791505835540395,制造业,55.57
003860,招商招旭纯债债券C,纯债基金,0,2,2020-02-14,1.1446,0.0003,1.48,0.03,0.23,1.03,2.61,3.34,6.11,7.25,14.77,-,-,51.48,18.08,1.11,0.00,127.40,10.29,10.29,16.66,2016-12-15,开放,开放,10,0.00,-,1.50,0.30,0.10,0.20,2018-12-07,郭敏,7.80,1.1179616498905596,-5.978455577661472,null,null
530015,建信深证基本面60ETF联接A,股票型基金,5,2,2020-02-14,2.2542,0.0160,-3.15,0.71,3.08,-5.84,5.01,11.22,26.27,6.29,14.63,13.39,-,125.42,17.58,0.75,2.44,0.04,93.59,0.04,10.22,2011-09-08,开放,开放,10,1.50,-,1.50,0.50,0.10,-,2017-09-28,薛玲,25.90,1.1179616498905596,-5.2436834868779485,制造业,1.47
270002,广发稳健增长混合,标准混合型基金,3,3,2020-02-14,1.4885,0.0032,4.35,0.22,1.05,2.34,4.56,13.21,30.46,13.26,14.46,15.99,9.31,995.69,9.13,0.5,43.45,40.56,39.54,22.19,130.44,2004-07-26,开放,开放,10,1.50,1.80,1.50,1.50,0.25,-,2016-03-29,傅友兴,59.55,1.1179616498905596,3.3042540519306094,制造业,28.76
519068,汇添富成长焦点混合,激进配置型基金,3,9,2020-02-14,2.1303,0.0102,-2.87,0.48,2.31,-4.49,-0.64,6.70,27.45,3.66,16.29,18.01,13.23,354.87,17.57,0.92,87.07,0.00,61.06,-,83.72,2007-03-12,开放,开放,100,1.50,-,1.50,1.50,0.25,-,2014-04-08,雷鸣,213.53,1.1179616498905596,-3.918838277596844,制造业,41.68
165312,建信央视财经50指数分级,股票型基金,3,4,2020-02-14,0.9437,0.0020,-0.87,0.21,1.02,-3.49,2.25,12.72,21.78,3.35,15.73,12.52,-,128.79,16.43,0.75,93.38,0.06,48.21,0.06,10.11,2013-03-28,开放,开放,10,1.20,-,1.50,1.00,0.22,-,2013-03-28,叶乐天,128.79,1.1179616498905596,-3.1097499144627587,制造业,54.55
159916,建信深证基本面60ETF,股票型基金,1,2,2020-02-14,4.3600,0.0327,-3.44,0.76,3.28,-6.25,5.12,11.63,27.29,6.36,15.44,14.12,-,137.55,18.72,0.8,99.43,0.04,53.46,0.04,10.07,2011-09-08,开放,开放,"500,000(份)",-,-,-,0.50,0.10,-,2017-09-28,薛玲,26.86,1.1179616498905596,-5.709150583554037,制造业,59.97
519069,汇添富价值精选混合A,激进配置型基金,3,9,2020-02-14,2.7660,0.0130,0.47,0.47,2.48,-2.05,4.50,14.53,26.79,9.58,14.67,17.10,15.42,546.41,14.12,0.62,85.65,4.24,52.13,4.24,139.38,2009-01-23,开放,开放,100,1.50,1.80,1.50,1.50,0.25,-,2016-01-13,劳杰男,78.08,1.1179616498905596,-1.617904084244672,制造业,50.73
163808,中银中证100指数增强,股票型基金,9,3,2020-02-14,1.5350,0.0100,-4.00,0.66,1.99,-5.36,-0.39,4.85,21.34,5.35,12.78,9.37,5.06,55.04,15.33,0.7,92.19,5.99,38.01,5.96,5.11,2009-09-04,开放,开放,10,1.50,-,1.50,1.00,0.15,-,2015-06-08,赵建忠,7.95,1.1179616498905596,-4.598480858667139,金融业,39.45
163407,兴全沪深300指数增强(LOF)A,股票型基金,4,2,2020-02-14,2.0760,0.0099,-2.37,0.48,1.21,-4.51,2.51,7.97,21.97,6.61,12.72,11.14,-,107.60,14.5,0.68,92.75,8.69,33.45,3.32,51.68,2010-11-02,开放,开放,1,1.20,1.50,1.50,0.80,0.15,-,2010-11-02,申庆,107.60,1.1179616498905596,-3.8021499626170567,制造业,36.03
002351,易方达裕祥回报债券,激进债券型基金,9,6,2020-02-14,1.4290,0.0020,3.25,0.14,0.99,1.06,6.56,12.79,19.88,13.93,11.9,-,-,42.90,5.7,0.99,20.10,89.70,18.63,8.85,49.96,2016-01-22,开放,开放,10,1.00,-,1.50,0.40,0.10,-,2017-07-28,张清华,33.93,1.1179616498905596,3.9543722834007093,制造业,17.55
470058,汇添富可转换债券A,可转债基金,2,5,2020-02-14,1.5170,0.0040,2.64,0.26,2.36,1.20,7.28,11.88,25.65,9.08,10.82,1.76,-,88.40,10.62,0.85,17.89,83.35,52.65,39.43,29.94,2011-06-17,开放,开放,"1,000",0.80,-,1.50,0.75,0.20,-,2015-07-22,曾刚,16.04,1.1179616498905596,-1.791671587697842,制造业,9.63
001319,农银汇理信息传媒主题股票,行业股票 - 科技、传媒及通讯,4,6,2020-02-14,1.0725,-0.0056,20.70,-0.52,1.81,11.17,27.56,53.63,73.18,18.27,13.86,-,-,7.25,17.37,0.77,90.47,0.00,34.15,-,16.53,2015-06-24,开放,开放,"1,000",1.50,-,1.50,1.50,0.25,-,2018-05-08,韩林,43.36,1.1179616498905596,-5.742436987568587,制造业,57.04
470059,汇添富可转换债券C,可转债基金,3,6,2020-02-14,1.4580,0.0030,2.53,0.21,2.32,1.11,7.13,11.57,25.03,8.60,10.34,1.36,-,82.13,10.65,0.88,17.89,83.35,52.65,39.43,29.94,2011-06-17,开放,开放,"1,000",0.00,-,1.50,0.75,0.20,0.40,2015-07-22,曾刚,13.80,1.1179616498905596,-2.281024419297199,制造业,9.63
050023,博时天颐债券A,激进债券型基金,3,5,2020-02-14,1.4790,-0.0010,5.27,-0.07,-0.27,3.07,9.39,12.30,16.64,12.19,9.32,4.87,-,80.60,3.99,0.75,17.34,105.33,66.70,51.72,9.57,2012-02-29,开放,开放,10,0.80,-,1.50,0.60,0.20,-,2018-03-19,张李陵,24.29,1.1179616498905596,3.5966008135541685,制造业,10.26
501050,华夏沪港通上证50AH优选指数（LOF）A,香港股票型基金,2,3,2020-02-14,1.3300,0.0070,-3.76,0.53,1.22,-4.25,0.76,7.69,13.29,6.17,9.28,-,-,33.00,14.84,0.92,92.83,0.06,51.17,0.06,16.44,2016-10-27,开放,开放,"1,000",1.50,-,1.50,0.50,0.10,-,2016-10-27,荣膺,33.00,1.1179616498905596,-7.4591785890791105,制造业,26.17
000118,广发聚鑫债券A,激进债券型基金,9,8,2020-02-14,1.4350,0.0000,3.27,0.00,1.13,1.63,8.62,15.35,24.47,12.95,9.16,8.52,-,111.72,8.8,2.11,20.00,88.68,46.43,31.13,17.29,2013-06-05,开放,暂停,10,0.80,-,1.50,0.70,0.20,0.00,2015-07-24,张芊,25.20,1.1179616498905596,-2.7165167969789494,制造业,11.94
000119,广发聚鑫债券C,激进债券型基金,0,4,2020-02-14,1.4310,0.0000,3.21,0.00,1.13,1.63,8.58,15.26,24.36,12.63,8.8,8.25,-,108.19,8.86,2.17,20.00,88.68,46.43,31.13,17.29,2013-06-05,开放,暂停,10,0.00,-,1.50,0.70,0.20,0.40,2015-07-24,张芊,23.54,1.1179616498905596,-3.1585314206784654,制造业,11.94
340001,兴全可转债混合,可转债基金,4,5,2020-02-14,1.2399,0.0019,2.10,0.15,1.63,-0.17,8.04,12.52,19.36,8.83,8.77,7.03,8.72,821.06,8.25,0.68,25.65,63.86,28.66,16.64,50.28,2004-05-11,开放,开放,1,1.00,-,1.50,1.30,0.25,-,2019-02-21,虞淼,18.30,1.1179616498905596,-1.085365972653427,制造业,12.12
050011,博时信用债券 - A/B,激进债券型基金,5,2,2020-02-14,2.7510,-0.0080,2.23,-0.29,3.77,0.81,8.05,8.91,17.11,12.00,8.53,7.76,11.44,202.06,6.84,1.38,19.88,97.68,68.27,47.14,22.55,2009-06-10,开放,开放,10,0.80,1.00,1.50,0.70,0.20,-,2009-06-10,过钧,202.06,1.1179616498905596,-0.5900423884531056,制造业,10.26
